18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/127132871.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/137030638.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/128527273.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.367 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139278355.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.367 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/hainansheng/109277356.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.367 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138943764.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.367 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/122385195.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.367 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/115344223.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.368 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137853371.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.368 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/136928588.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.368 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-qsq/139327394.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.368 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139269994.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.368 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139320913.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.369 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139328877.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.369 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137214620.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.369 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/136884628.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.369 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/137358393.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.369 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137799358.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.370 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139309820.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.370 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139315742.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.370 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138062254.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.370 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/138017339.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.371 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/137494471.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.371 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/137464868.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.371 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139321182.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.371 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-qsq/139270132.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.371 [main] INFO  Job51JobSpider - 解析页数文件:CityPage/海口/2.json
18:05:43.378 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/135734048.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/135907872.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/117593410.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139134429.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/126803693.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/135425980.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/135297346.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139325563.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.379 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/134531619.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139324559.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139334046.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139339360.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139322365.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/133293318.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139339251.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139336686.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
